id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
24961,"March 12, 2007 03:46",2007-03-12,2007-03-12 07:46:00 UTC,Eastern Time (US & Canada),false,1000,muir,2011-07-15 01:12:38 UTC,2016-03-01 16:57:46 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/24961,https://static.inaturalist.org/photos/45071/medium.jpg?1444770084,"","Location approximate.

Several moving around.",false,2,0,false,,"Golden Gate National Recreation Area, CA",37.8610309412,-122.5741195679,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
25206,2011-07-09,2011-07-09,,Pacific Time (US & Canada),false,1674,mattjames425,2011-07-17 05:14:58 UTC,2016-03-01 16:57:20 UTC,needs_id,,http://www.inaturalist.org/observations/25206,https://static.inaturalist.org/photos/45459/medium.png,california newt taricha torosa salamander skyline ridge preserve lake pond san mateo county ca,A highly poisonous newt swimming around in a small stream next to Horseshoe Lake in San Mateo county. The lake has a huge number of newts from March to late fall. ,false,0,0,false,,"Skyline Ridge preserve, CA",37.3010865,-122.1916328,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
25648,"July 17, 2011 16:39",2011-07-17,2011-07-17 23:39:00 UTC,Pacific Time (US & Canada),false,1,kueda,2011-07-21 06:36:42 UTC,2017-01-20 20:36:23 UTC,needs_id,CC0,http://www.inaturalist.org/observations/25648,https://static.inaturalist.org/photos/46228/medium.jpg?1444353229,"larva, larvae, immature","We found a bunch of these guys in a drying stream.  Never seen the larvae of this newt before!  I'm sort of assuming they're <i>T. torosa</i> based on location.  If you have reason to believe they could be <i>T. granulosa</i>, let me know.",false,0,0,false,,"Anthony Chabot Regional Park, Oakland, CA, USA",37.74405,-122.112539,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
31029,2011-04-21,2011-04-21,,Pacific Time (US & Canada),false,2873,jmaughn,2011-09-14 00:24:47 UTC,2016-03-01 16:48:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/31029,https://static.inaturalist.org/photos/53772/medium.JPG,"","",false,1,0,false,,"Santa Cruz County, CA",37.0222911077,-122.0114135742,,,,,Coast Range Newt,Taricha torosa,California Newt,Amphibia,27818
31343,2011-07-18,2011-07-18,,Pacific Time (US & Canada),false,2965,marina,2011-09-17 16:33:21 UTC,2016-03-01 16:47:47 UTC,needs_id,,http://www.inaturalist.org/observations/31343,https://static.inaturalist.org/photos/54250/medium.JPG,"",Newly out of pond. Mourning Dove print for scale.,false,0,0,false,,"Wildcat Canyon Regional Park, CA",37.9581396872,-122.3164558411,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
31740,2006-01-19 2:32pm,2006-01-19,2006-01-19 22:32:00 UTC,Pacific Time (US & Canada),false,2991,sea-kangaroo,2011-09-20 00:01:19 UTC,2016-07-29 06:02:54 UTC,research,CC-BY,http://www.inaturalist.org/observations/31740,https://static.inaturalist.org/photos/2884201/medium.JPG?1452841800,"brown, orange",The gross liver-looking thing is a very rotted mushroom.,false,1,0,false,,"Sierra Azul Open Space Preserve, Los Gatos, California, USA",37.1909317,-121.918866,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
32572,2011-09-25,2011-09-25,,Pacific Time (US & Canada),,505,th0th,2011-09-25 21:43:47 UTC,2016-03-01 16:45:23 UTC,research,CC-BY,http://www.inaturalist.org/observations/32572,https://static.inaturalist.org/photos/56057/medium.jpg?1444408669,"","",false,3,0,false,,"Sonoma County, CA",38.8081790538,-122.9225921631,,,,,California Newt (Taricha torosa),Taricha torosa,California Newt,Amphibia,27818
32999,2010-07-10,2010-07-10,,Pacific Time (US & Canada),,3074,neversat,2011-09-27 22:38:17 UTC,2016-09-23 00:59:48 UTC,research,,http://www.inaturalist.org/observations/32999,https://static.inaturalist.org/photos/56368/medium.jpg,"","",false,1,0,false,,"foothills park, palo alto, ca",37.3540872,-122.1831192,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
39019,2011-11-13,2011-11-13,,Pacific Time (US & Canada),false,3620,dps45k,2011-11-14 04:00:32 UTC,2016-03-01 16:33:41 UTC,research,,http://www.inaturalist.org/observations/39019,https://static.inaturalist.org/photos/64959/medium.JPG,"","",false,2,0,false,,"fairfax, ca",37.9402106318,-122.6065206528,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
40136,2011-11-25,2011-11-25,,Pacific Time (US & Canada),false,2873,jmaughn,2011-11-26 04:05:52 UTC,2016-03-01 16:31:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/40136,https://static.inaturalist.org/photos/66712/medium.jpg?1444437789,"","",false,2,0,false,,"California, US",37.0497564778,-122.220651238,,obscured,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
40262,"November 26, 2011 1:56:08 PM PST",2011-11-26,2011-11-26 21:56:08 UTC,Pacific Time (US & Canada),false,1,kueda,2011-11-27 01:20:24 UTC,2016-03-01 16:30:29 UTC,research,CC0,http://www.inaturalist.org/observations/40262,https://static.inaturalist.org/photos/66823/medium.jpg,"","",false,1,0,false,,"Briones Regional Park, Contra Costa County, CA, USA",37.9436454773,-122.1282043457,,,,,California newt,Taricha torosa,California Newt,Amphibia,27818
40297,2011-11-26,2011-11-26,,Pacific Time (US & Canada),false,2873,jmaughn,2011-11-27 06:48:13 UTC,2016-03-01 16:30:20 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/40297,https://static.inaturalist.org/photos/66864/medium.jpg?1444437897,"","",false,1,0,false,,"California, US",37.1954517957,-122.0596955989,,obscured,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
44220,2011-12-18,2011-12-18,,Pacific Time (US & Canada),,2873,jmaughn,2011-12-20 01:17:46 UTC,2016-03-01 16:21:58 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/44220,https://static.inaturalist.org/photos/71475/medium.jpg?1444443875,"","",false,2,0,false,,Santa Cruz Co. CA ,37.0869978688,-122.0610934496,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
44462,2008-03-13,2008-03-13,,Pacific Time (US & Canada),false,2692,kestrel,2011-12-21 22:57:33 UTC,2016-03-01 16:21:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/44462,https://static.inaturalist.org/photos/71775/medium.jpg,"","",false,2,0,false,,"La Honda, CA",37.3139001871,-122.2957062721,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
44792,2011-12-23,2011-12-23,,Pacific Time (US & Canada),,2898,dbring,2011-12-24 18:07:32 UTC,2016-09-23 01:02:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/44792,https://static.inaturalist.org/photos/72246/medium.JPG,"",This California Newt was crossing the Rogue Valley trail on a fairly cold day.  Shaded parts of the trail were still covered with hoarfrost.,false,3,0,false,,Rancho San Antonio Open Space Preserve,37.337066926,-122.1110200882,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
44991,2011-12-26,2011-12-26,,Pacific Time (US & Canada),true,2692,kestrel,2011-12-27 21:49:54 UTC,2016-03-01 16:21:09 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/44991,https://static.inaturalist.org/photos/72648/medium.JPG,"","Curled up in its defensive posture... I'm guessing a mountain biker scared it since we found it in the middle of the trail looking like this.

Either Taricha granulosa or Taricha torosa.",false,3,0,false,,"Annadel State Park, Santa Rosa, CA",38.4408973903,-122.6329135895,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
49209,2012-01-26,2012-01-26,,Pacific Time (US & Canada),false,4403,mpenuelas,2012-01-28 01:37:15 UTC,2016-03-01 16:09:42 UTC,research,,http://www.inaturalist.org/observations/49209,https://static.inaturalist.org/photos/78860/medium.JPG,"",California Newt on the Trail near Escobar gate. Not sure of coordinates,false,3,0,false,,Jasper Ridge Biological Preserve,37.4037169451,-122.2174715996,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
49976,2012-01-23,2012-01-23,,Pacific Time (US & Canada),false,2898,dbring,2012-01-31 21:50:17 UTC,2016-03-01 16:07:04 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/49976,https://static.inaturalist.org/photos/79788/medium.JPG,"","After the first rain in more than a month, we encountered two California newts at separate spots near the Crystal Springs trail in Huddart Park.",false,1,0,false,,"Huddart County Park, San Mateo Co, CA",37.4439265763,-122.2998905182,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
54332,2012-02-29,2012-02-29,,Pacific Time (US & Canada),false,714,curiousgeorge61,2012-03-01 05:44:55 UTC,2014-10-19 16:34:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/54332,https://static.inaturalist.org/photos/85287/medium.JPG,"","",false,1,0,false,,"Pepperwood Preserve, CA",38.572444,-122.707778,31,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
54528,2012-02-29,2012-02-29,,Pacific Time (US & Canada),false,3161,greenrosettas,2012-03-01 21:13:23 UTC,2016-05-12 16:10:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/54528,https://static.inaturalist.org/photos/85499/medium.JPG,"Pinehurst road, newts, california newts","Pinehurst road always attracts lots of newts, salamanders and frogs during the rains, sadly though many are not to make it to the other side. ",false,1,0,false,,"Contra Costa County, US-CA, US",37.8072749195,-122.1400523186,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
54700,"March 1, 2012 4:30:53 PM PST",2012-03-01,2012-03-02 00:30:53 UTC,Pacific Time (US & Canada),false,3124,zgold,2012-03-02 16:06:10 UTC,2015-11-12 06:43:55 UTC,research,,http://www.inaturalist.org/observations/54700,https://static.inaturalist.org/photos/85669/medium.jpg,"","",false,1,0,false,,"37.403160095214844, -122.23756408691406",37.4031600952,-122.2375640869,670,,,,California newt,Taricha torosa,California Newt,Amphibia,27818
55128,"March 03, 2012 11:57",2012-03-03,2012-03-03 19:57:00 UTC,Pacific Time (US & Canada),false,1,kueda,2012-03-04 06:54:43 UTC,2015-05-13 03:36:14 UTC,research,CC0,http://www.inaturalist.org/observations/55128,https://static.inaturalist.org/photos/86235/medium.jpg?1444463599,"","Found dead under a log with its guts hanging out.  Maybe something took a bite, didn't like, and cached it?",false,2,0,false,,"Sunol Regional Wilderness, Alameda County, CA, USA",37.50703,-121.799753,,,,"",California Newt,Taricha torosa,California Newt,Amphibia,27818
57203,2012-03-11,2012-03-11,,Pacific Time (US & Canada),false,2620,jecervan,2012-03-11 21:06:55 UTC,2015-05-13 03:36:10 UTC,research,CC-BY-ND,http://www.inaturalist.org/observations/57203,https://static.inaturalist.org/photos/89085/medium.jpg?1444536790,"","",false,1,0,false,,"",38.5802920785,-122.7071973681,15,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
57206,"February 11, 2012 10:27:01 AM PST",2012-02-11,2012-02-11 18:27:01 UTC,Pacific Time (US & Canada),false,2580,funkewoman,2012-03-11 21:12:13 UTC,2016-07-13 18:05:19 UTC,research,CC-BY,http://www.inaturalist.org/observations/57206,https://static.inaturalist.org/photos/89131/medium.jpg,"","",false,2,0,false,,"170 Bahama Reef, Novato, CA  94949-5305, , United States",38.0704650879,-122.4989395142,149000,,,,California newt,Taricha torosa,California Newt,Amphibia,27818
57230,2012-03-11 09:00,2012-03-11,2012-03-11 16:00:00 UTC,Pacific Time (US & Canada),false,998,vtraveler,2012-03-11 22:02:25 UTC,2015-05-13 03:36:10 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/57230,https://static.inaturalist.org/photos/89132/medium.jpg?1444466949,"",This little guy was crossing the watershed from the Tennessee valley to the valley to the north.  ,false,2,0,false,,"Coyote Ridge, Marin Headlands",37.8618949204,-122.5541853905,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
58752,"March 17, 2012 15:52",2012-03-17,2012-03-17 22:52:00 UTC,Pacific Time (US & Canada),false,1,kueda,2012-03-19 01:00:34 UTC,2015-05-13 03:36:05 UTC,research,CC0,http://www.inaturalist.org/observations/58752,https://static.inaturalist.org/photos/91333/medium.jpg?1444469565,"","",false,3,0,false,,"Sobrante Ridge Regional Preserve, Contra Costa County, CA, USA",37.965125,-122.262562,,,,"",California Newt,Taricha torosa,California Newt,Amphibia,27818
59045,2012-03-19,2012-03-19,,Pacific Time (US & Canada),false,2873,jmaughn,2012-03-20 15:05:35 UTC,2014-10-19 16:48:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/59045,https://static.inaturalist.org/photos/91748/medium.jpg?1444747156,"","",false,1,0,false,,"California, US",37.1405243966,-122.1621385404,1330,obscured,,google,California Newt,Taricha torosa,California Newt,Amphibia,27818
59291,2006-04-18,2006-04-18,,Pacific Time (US & Canada),false,2991,sea-kangaroo,2012-03-21 19:18:04 UTC,2014-12-02 05:36:09 UTC,research,CC-BY,http://www.inaturalist.org/observations/59291,https://static.inaturalist.org/photos/92098/medium.JPG,egg,Newt eggs?,false,2,0,false,,"Filoli Gardens, Redwood City, California, USA",37.470317,-122.310887,342,,,,California Newt (Taricha torosa),Taricha torosa,California Newt,Amphibia,27818
61005,Thu Mar 29 2012 15:43:39 GMT-0700 (PDT),2012-03-29,2012-03-29 22:43:39 UTC,Pacific Time (US & Canada),false,933,chriswbrown,2012-03-30 16:23:42 UTC,2014-10-19 16:54:12 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/61005,https://static.inaturalist.org/photos/94225/medium.jpg,"","Babies, babies, everywhere!",false,1,0,false,,"Mount Burdell Open Space, Novato, California, US",38.136044,-122.596217,5,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
61488,2012-03-31,2012-03-31,,Pacific Time (US & Canada),false,5613,sabrinah,2012-04-01 06:04:53 UTC,2015-05-13 02:43:28 UTC,research,CC-BY,http://www.inaturalist.org/observations/61488,https://static.inaturalist.org/photos/94801/medium.jpg,"","There were 2, this one with an earthworm.",false,2,0,false,,"Turtle Pond, Pepperwood",38.5750468237,-122.7069086433,14,,,,Taricha torosa torosa - Coast Range Newt,Taricha torosa,California Newt,Amphibia,27818
62104,2012-04-01,2012-04-01,,Pacific Time (US & Canada),true,1213,dave-barry,2012-04-03 20:07:14 UTC,2015-05-13 02:43:26 UTC,research,,http://www.inaturalist.org/observations/62104,https://static.inaturalist.org/photos/95588/medium.jpg,"","",false,3,0,false,,"Riddell Preserve Healdsburg, CA",38.6374054663,-122.9436206818,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
63703,2012-04-08,2012-04-08,,Pacific Time (US & Canada),false,28,tiwane,2012-04-09 05:17:49 UTC,2017-01-18 05:55:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/63703,https://static.inaturalist.org/photos/97843/medium.jpg?1444477397,"newt, amphibians, Taricha torosa, california newt, ebrpd","Alas, no adults were to be found, but many globules of their eggs were in the pond.  This was as close as I got to an Easter Egg hunt...",false,1,0,false,,Sibley Volcanic Regional Preserve,37.8531981012,-122.1906260745,1890,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
65201,2012-04-12,2012-04-12,,Pacific Time (US & Canada),false,6001,revup67,2012-04-13 19:34:50 UTC,2016-09-02 06:50:05 UTC,research,CC-BY,http://www.inaturalist.org/observations/65201,https://static.inaturalist.org/photos/99568/medium.JPG,Taricha torosa California Newt revup67 gliozzo anthony,"Male and Female (Taricha torosa)  California Newts mating within stream at Black Star Canyon, Silverado CA.  Along the stream up to the waterfalls we spotted about a dozen of these Newts however this was the only pair mating.  Weather temp was ripe fo their environment as a rain had fallen one day prior with more rain on the way.  Temp in Farenheit was approximately 65 degrees.  We passed this male and female around 4pm.  They were in the same location approximately two hours later.",false,2,0,false,,"Black Star Canyon - Silverado, CA",33.8015614119,-117.6524235539,5018,,,,Taricha torosa California Newt,Taricha torosa,California Newt,Amphibia,27818
68017,"April 15, 2012 14:52",2012-04-15,2012-04-15 21:52:00 UTC,Pacific Time (US & Canada),false,1,kueda,2012-04-20 05:38:54 UTC,2016-03-21 17:07:06 UTC,research,CC0,http://www.inaturalist.org/observations/68017,https://static.inaturalist.org/photos/103263/medium.jpg?1444778811,"","Eyes seem somewhat protuberant, but the dark seems to run below the eye.  Thoughts?  I've never really seen a Rough-skinned in the East Bay before.",true,2,0,false,,"Briones Regional Park, CA, US",37.9461386,-122.1422035,,,,"",Pacific newts,Taricha torosa,California Newt,Amphibia,27818
72467,"April 28, 2012 17:12",2012-04-28,2012-04-29 00:12:00 UTC,Pacific Time (US & Canada),false,4234,primalux,2012-04-30 16:56:08 UTC,2015-05-13 03:14:12 UTC,research,CC-BY,http://www.inaturalist.org/observations/72467,https://static.inaturalist.org/photos/108975/medium.jpg?1444486999,"","We saw probably 100 or so newts out there, I don't know if this is a Rough-skinned or California newt, or if there is even enough information in the images to tell. Either way, awesome little guy.",false,1,0,false,,"Purisma Creek Redwoods Open Space Preserve, Half Moon Bay, CA",37.4319363,-122.3471926,3864,,,,California Newt (Taricha torosa),Taricha torosa,California Newt,Amphibia,27818
